year	month	day	volume	company
2018	8	30	23	1000186
2018	8	30	25	1000190
2018	8	30	4.6452	1000195
2018	8	30	0.871	1000211
2018	8	30	2.8387	1000212
2018	8	30	0	1000215
2018	8	30	0	1000216
2018	8	30	0.0161	1000221
2018	8	30	10	1000222
2018	8	30	0.0129	1000223
2018	8	30	1.4839	1000226
2018	8	30	5.4839	1000230
2018	8	30	0.0323	1000256
2018	8	30	0	1000257
2018	8	30	0	1000261
2018	8	30	0.3548	1000267
2018	8	30	2	1000282
2018	8	30	0	1000283
2018	8	30	4.5497	1000288
2018	8	30	0	1000290
2018	8	30	5.1613	1000294
2018	8	30	0	1000299
2018	8	30	1.0323	1000300
2018	8	30	0	1000307
2018	8	30	13	1000308
2018	8	30	11	1000309
2018	8	30	0	1000310
2018	8	30	1.9032	1000313
2018	8	30	0.9677	1000315
2018	8	30	23.3095	1000318
2018	8	30	0.0839	1000331
2018	8	30	1	1000332
2018	8	30	0	1000340
2018	8	30	0.9677	1000348
2018	8	30	1.2903	1000349
2018	8	30	0.4839	1000350
2018	8	30	0	1000352
2018	8	30	1.129	1000356
2018	8	30	0	1000357
2018	8	30	0	1000358
2018	8	30	0.4516	1000362
2018	8	30	129.9891	1000363
2018	8	30	0	1000366
2018	8	30	0.9355	1000367
2018	8	30	0	1000368
2018	8	30	1.9355	1000370
2018	8	30	0	1000371
2018	8	30	5.4839	1000373
2018	8	30	1.5806	1000374
2018	8	30	0	1000375
2018	8	30	6.2	1000376
2018	8	30	0	1000377
2018	8	30	0.9677	1000378
2018	8	30	0.8065	1000380
2018	8	30	0.6452	1000383
2018	8	30	0.0613	1000385
2018	8	30	0	1000386
2018	8	30	0	1000388
2018	8	30	1.4194	1000406
2018	8	30	0	1000410
2018	8	30	26.6905	1000411
2018	8	30	0	1000412
2018	8	30	1.7	1000413
2018	8	30	1.6129	1000416
2018	8	30	0	1000419
2018	8	30	1.2903	1000424
2018	8	30	4.4194	1000431
2018	8	30	1.7419	1000432
2018	8	30	0.2903	1000433
2018	8	30	0.4194	1000434
2018	8	30	0	1000437
2018	8	30	10	1000442
2018	8	30	2.6129	1000443
2018	8	30	3.0323	1000445
2018	8	30	0	1000448
2018	8	30	0.7419	1000450
2018	8	30	0	1000451
2018	8	30	0	1000452
2018	8	30	0	1000453
2018	8	30	2.2258	1000465
2018	8	30	0.6774	1000466
2018	8	30	3.5484	1000468
2018	8	30	2.9032	1000469
2018	8	30	0	1000471
2018	8	30	0.3226	1000472
2018	8	30	0.0065	1000474
2018	8	30	0	1000475
2018	8	30	0.7742	1000477
2018	8	30	3.2258	1000478
2018	8	30	0.5161	1000479
2018	8	30	0.0065	1000480
2018	8	30	0.7097	1000482
2018	8	30	0	1000483
2018	8	30	1.2903	1000484
2018	8	30	1.7419	1000486
2018	8	30	13	1000489
2018	8	30	2	1000490
2018	8	30	60	1000491
2018	8	30	0	1000493
2018	8	30	3.2258	1000497
2018	8	30	0	1000498
2018	8	30	0	1000499
2018	8	30	1.1935	1000500
2018	8	30	3.9	1000501
